,Abyssinian,American Bulldog,American Pit Bull Terrier,Basset Hound,Beagle,Bengal,Birman,Bombay,Boxer,British Shorthair,Chihuahua,Egyptian Mau,English Cocker Spaniel,English Setter,German Shorthaired,Great Pyrenees,Havanese,Japanese Chin,Keeshond,Leonberger,Maine Coon,Miniature Pinscher,Newfoundland,Persian,Pomeranian,Pug,Ragdoll,Russian Blue,Saint Bernard,Samoyed,Scottish Terrier,Shiba Inu,Siamese,Sphynx,Staffordshire Bull Terrier,Wheaten Terrier,Yorkshire Terrier
Abyssinian,2,0,2,2,0,7,2,1,2,1,2,1,1,0,0,0,0,2,1,3,11,1,2,3,4,0,7,1,0,0,1,6,4,20,0,3,6
American Bulldog,0,6,4,0,5,3,2,2,3,1,1,0,1,3,2,9,0,12,5,0,5,1,1,1,0,9,7,0,1,6,0,2,2,2,2,2,0
American Pit Bull Terrier,0,1,2,2,6,9,1,3,1,0,2,2,0,1,4,2,0,2,2,8,8,3,1,2,2,5,3,1,1,0,0,8,1,10,1,0,6
Basset Hound,0,2,4,1,14,4,0,0,7,1,2,0,1,2,4,0,0,6,0,15,1,6,1,1,0,2,0,0,4,1,0,3,4,7,1,2,4
Beagle,0,1,3,1,25,1,0,0,6,0,3,1,0,0,8,3,1,4,0,2,0,2,2,0,0,6,4,0,3,0,0,8,3,8,2,1,2
Bengal,1,0,2,1,7,12,0,1,2,2,1,2,0,1,2,0,0,1,0,6,8,8,1,6,1,0,0,0,0,1,0,4,3,15,0,1,11
Birman,0,0,0,0,0,1,9,0,3,3,5,2,0,0,1,3,1,7,4,1,0,1,3,3,0,9,18,1,0,3,0,1,13,6,0,0,2
Bombay,0,0,0,1,0,0,0,28,2,1,2,0,0,0,0,0,0,3,5,1,2,1,27,0,0,2,0,1,0,0,1,2,3,4,1,0,1
Boxer,0,0,2,1,5,6,1,0,6,1,1,1,0,0,4,0,0,7,6,7,1,2,3,1,1,9,3,0,0,2,1,4,4,13,2,0,5
British Shorthair,0,0,0,0,0,6,3,3,1,22,0,0,1,1,1,1,1,0,3,2,4,2,5,2,2,8,6,1,0,4,0,4,1,14,0,2,0
Chihuahua,0,1,3,0,5,2,1,2,1,0,4,0,0,2,0,5,1,1,0,4,3,5,1,2,1,7,6,0,1,2,0,11,2,20,1,3,3
Egyptian Mau,1,2,0,0,0,3,1,2,0,7,2,12,0,0,1,0,0,5,4,1,6,2,1,1,0,6,2,0,1,1,1,7,4,18,1,4,1
English Cocker Spaniel,0,2,4,0,2,8,0,8,0,1,1,1,0,1,4,1,0,1,1,5,8,6,13,2,1,4,1,0,0,0,0,4,4,5,4,2,6
English Setter,0,4,1,1,4,5,1,5,4,3,0,0,0,1,6,1,1,7,2,0,2,1,2,2,0,15,3,0,5,3,0,6,3,4,7,1,0
German Shorthaired,0,1,0,2,3,3,0,1,4,3,0,1,0,1,23,0,0,7,2,10,0,7,6,1,0,8,0,0,2,1,0,0,3,7,2,1,1
Great Pyrenees,0,5,0,0,1,1,1,0,0,2,0,0,0,2,0,15,3,5,0,0,2,0,1,2,2,6,19,0,2,16,0,3,2,6,1,3,0
Havanese,0,5,0,0,2,3,2,0,1,1,2,0,1,0,1,5,3,12,4,3,2,2,4,3,2,13,3,0,3,9,1,0,3,6,3,0,1
Japanese Chin,0,3,0,0,1,1,1,1,2,0,0,0,0,2,4,1,0,21,0,2,1,1,1,4,2,13,11,0,1,2,0,7,11,5,2,0,0
Keeshond,0,2,2,0,0,0,3,5,1,11,0,1,0,0,11,4,0,1,3,2,1,7,8,0,0,15,3,1,2,0,1,1,9,3,1,1,0
Leonberger,0,0,1,0,0,9,0,4,4,4,0,0,0,1,11,0,1,2,5,16,3,6,9,3,1,1,3,0,0,1,2,1,6,5,0,0,1
Maine Coon,2,1,0,0,1,6,0,3,1,4,3,2,0,0,0,0,0,3,0,3,10,1,2,5,5,3,9,0,0,3,0,6,3,18,0,4,2
Miniature Pinscher,0,0,3,0,0,5,1,0,3,4,0,1,1,2,10,1,0,2,5,12,1,12,5,3,1,2,0,0,2,0,0,1,6,11,0,3,3
Newfoundland,0,1,1,0,0,1,0,30,0,3,0,0,0,0,7,0,0,1,0,8,0,4,40,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Persian,1,0,0,0,0,0,1,2,1,1,4,1,0,0,0,2,0,0,1,1,6,0,1,12,11,1,25,0,0,7,1,7,1,8,1,2,2
Pomeranian,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,3,0,4,1,0,7,1,1,13,14,2,13,0,0,6,0,9,0,7,0,5,7
Pug,0,1,1,0,5,0,2,4,2,2,1,0,0,6,3,3,0,7,0,6,1,2,0,1,0,18,6,0,3,1,0,2,14,7,1,1,0
Ragdoll,0,1,0,0,1,0,1,0,3,1,4,0,0,0,0,3,0,2,2,2,1,0,0,6,1,3,40,0,3,7,0,2,2,11,0,4,0
Russian Blue,1,2,1,0,0,3,4,5,0,21,1,3,0,0,6,0,0,3,9,2,1,3,6,0,0,8,1,2,1,0,2,3,4,8,0,0,0
Saint Bernard,0,2,1,0,9,0,0,0,3,0,2,1,0,5,4,1,1,13,0,2,2,2,1,2,0,11,10,0,7,1,0,2,10,3,0,3,2
Samoyed,0,5,1,0,1,0,2,0,0,1,0,1,0,1,0,9,0,2,0,0,1,0,0,5,1,5,21,0,0,28,0,5,0,7,0,4,0
Scottish Terrier,0,1,2,0,1,0,0,12,1,4,0,1,0,0,5,1,0,1,5,2,4,6,31,1,0,3,2,0,2,2,3,0,3,4,2,0,0
Shiba Inu,1,0,3,0,2,8,0,0,4,0,2,1,0,0,1,1,0,2,0,3,4,2,1,4,8,0,8,0,1,2,0,18,1,12,0,4,7
Siamese,1,2,3,0,0,2,6,4,2,3,2,3,1,0,2,0,0,3,3,2,2,1,5,5,0,10,12,0,1,1,0,3,8,10,0,1,2
Sphynx,0,1,0,1,0,2,0,0,0,4,3,2,0,1,0,2,0,3,1,0,5,3,0,6,0,3,10,1,1,4,0,7,3,28,0,2,7
Staffordshire Bull Terrier,1,2,2,1,4,5,0,0,3,4,1,1,3,3,18,2,0,1,2,4,2,1,8,1,1,2,2,0,1,1,0,4,3,2,3,0,1
Wheaten Terrier,0,2,1,0,0,2,3,0,4,5,1,2,0,0,3,7,1,3,1,1,1,2,1,6,1,3,8,0,1,3,0,6,2,18,0,8,4
Yorkshire Terrier,0,0,5,0,7,5,0,0,3,0,2,0,0,1,4,1,1,0,0,6,7,10,3,5,0,3,0,0,1,0,0,6,1,11,2,3,13
